fid,season,playerid,g,pr,pryds,prtd,kr,kryds,krtd
1,1956,LANENIG001,12,2,0,0,,,
1,1956,CROWLIN001,12,1,21,0,,,
1,1956,SANFLEO001,12,1,6,0,,,
1,1956,MANNDAV001,12,,,,7,131,0
1,1956,BURLALE001,8,,,,3,59,0
1,1956,OLSZJOH001,11,,,,3,25,0
1,1956,CHILJOE001,11,,,,1,0,0
1,1956,WEBECHU001,5,,,,1,0,0
1,1955,BERNFRA001,11,19,163,0,,,
1,1955,MATSOLL001,12,13,245,2,15,368,0
1,1955,CARRJIM002,12,1,0,0,4,93,0
1,1955,HILLJIM003,9,1,0,0,,,
1,1955,GOBLLES001,9,,,,8,160,0
1,1955,MANNDAV001,12,,,,6,136,0
1,1955,HAMMMAL001,9,,,,2,32,0
1,1955,OLSZJOH001,11,,,,2,26,0
1,1955,HATLJOH001,12,,,,2,13,0
1,1955,DELABUR001,12,,,,2,0,0
1,1955,LANGBIL001,12,,,,2,0,0
1,1955,SIMMJAC001,12,,,,1,7,0
1,1954,GOBLLES001,12,22,51,0,27,749,2
1,1954,MATSOLL001,10,11,100,1,17,449,1
1,1954,TRIPCHA001,12,6,57,0,1,17,0
1,1954,BARRPAU001,12,,,,5,80,0
1,1954,SEARJIM001,1,,,,2,38,0
1,1954,OLSZJOH001,11,,,,1,21,0
1,1954,BREDBIL001,12,,,,1,19,0
1,1954,KINGEMM001,12,,,,1,19,0
1,1954,HATLJOH001,12,,,,1,11,0
1,1954,JENNJAC001,12,,,,1,10,0
1,1954,SUGALEO001,12,,,,1,7,0
1,1953,TRIPCHA001,12,21,239,0,8,199,0
1,1953,PAULDON002,12,18,85,0,4,106,0
